IP,LongURL,PreSuffix,SubDomain,@Symbol,TLDInPath,SuspiciousWords,PunctuationSymbols,DigitsInDomain,Entropy,KLDivergence,Phishy
0,2,0,0,0,0,1,0,0,2.761433282,0.38204832,1
0,0,0,0,0,0,0,0,0,2.245171589,0.778695557,1
0,2,0,0,0,0,0,0,0,2.722323861,0.263257249,1
0,0,0,0,0,0,0,0,0,2.094729048,1.023786503,0
0,2,0,0,0,0,0,0,0,2.715998252,0.270360492,1
0,1,0,0,0,0,0,0,0,2.455208884,0.772153314,1
0,2,0,0,0,0,0,0,0,2.575584947,0.398989861,1
0,1,0,0,0,0,0,0,0,2.438036315,0.655704623,1
0,2,0,0,0,1,0,0,0,2.707741895,0.278182101,1
0,0,0,0,0,0,0,0,0,1.979204517,1.519296201,1
0,2,0,0,0,0,0,0,0,2.708646875,0.376765229,1
0,2,1,0,0,1,0,0,1,2.871776477,0.30165338,0
0,1,0,0,0,0,0,0,0,2.472059535,0.659817229,1
0,1,1,0,0,1,0,0,0,2.600555315,0.404445915,1
0,0,0,0,0,0,0,0,0,2.683416265,0.309406073,1
0,0,0,0,0,0,0,0,0,2.692310994,0.366217598,1
0,2,0,0,0,0,0,0,0,2.81519501,0.345607762,1
0,2,1,0,0,1,0,0,0,3.086878864,0.234196278,1
0,2,0,0,0,1,0,0,0,3.083408493,0.545459397,0
0,1,1,0,0,0,0,0,0,2.596638245,0.421485661,1
0,0,0,1,0,0,0,0,1,2.705131457,0.296495193,0
0,2,0,0,0,1,1,1,0,2.853009177,0.203694613,0
0,1,1,0,0,0,0,0,0,2.73881331,0.53118486,0
0,0,0,1,0,0,0,0,1,2.705131457,0.296495193,0
0,1,0,0,0,1,0,0,0,2.821387757,0.23807167,1
0,0,1,1,0,0,0,0,1,2.52134887,0.5309902,1
0,0,1,1,0,0,0,0,1,2.52134887,0.5309902,0
0,0,0,1,0,0,0,0,1,2.669880409,0.397438948,0
0,0,1,1,0,0,0,0,1,2.52134887,0.5309902,0
0,1,0,0,0,1,0,0,0,2.930839777,0.346520778,1
0,0,0,0,0,1,0,0,0,2.683937826,0.443500734,1
0,0,0,0,0,1,0,0,0,2.653304873,0.663907238,1
0,1,1,1,0,1,0,0,1,2.450922843,0.500959688,0
0,1,0,0,0,0,0,0,0,2.794508138,0.271406849,1
0,1,0,0,0,0,0,0,0,2.670305333,0.198734905,1
0,1,1,1,0,1,0,0,1,2.450922843,0.500959688,0
0,0,0,0,0,0,0,0,1,2.515583393,0.513014596,0
0,1,0,0,0,0,0,0,0,2.803989124,0.223287477,0
0,2,1,2,0,0,1,0,0,2.779401531,0.295674547,0
0,0,0,0,0,0,0,0,1,2.515583393,0.513014596,0
0,0,0,0,0,0,0,0,1,2.515583393,0.513014596,0
0,0,0,0,0,1,0,0,0,2.718921028,0.441869157,0
0,1,0,0,0,1,0,0,0,2.692085616,0.322211445,0
0,0,0,0,0,1,0,0,0,2.578074865,0.479031013,1
0,1,0,0,0,1,0,0,0,2.784999482,0.289327938,0
0,1,0,0,0,1,0,1,0,2.819701438,0.226282343,1
0,2,0,0,0,1,0,0,0,2.766114329,0.37412978,1
0,0,0,0,0,1,0,0,1,2.78704439,0.554296704,1
0,2,0,0,0,1,0,0,0,2.764490483,0.304358812,0
0,1,0,0,0,1,0,0,0,2.722969093,0.316159733,0
0,1,0,0,0,1,0,0,0,2.678541521,0.369469223,0
0,0,0,0,0,0,0,0,0,2.692291153,0.324114418,0
0,2,0,2,0,0,0,0,1,2.623660679,0.397689879,0
0,0,0,2,0,0,0,0,1,2.645938284,0.37161177,0
0,0,0,1,0,0,0,0,1,2.705131457,0.296495193,0
0,0,0,0,0,0,0,0,0,2.094729048,1.360664033,0
0,0,1,0,0,0,0,0,0,2.56635769,0.27052932,0
0,1,0,1,0,1,0,0,0,2.86766158,0.376197838,0
0,0,1,0,0,0,0,0,0,2.727299114,0.364955693,0
0,1,0,0,0,1,0,0,0,2.701783942,0.259317516,1
0,1,1,0,0,0,0,0,0,2.724587403,0.403699465,0
0,1,0,1,0,1,0,0,1,2.748537281,0.385937581,0
0,1,0,0,0,1,0,0,0,2.711853865,0.350122783,0
0,0,0,0,0,0,0,0,0,2.689178167,0.689469585,0
0,0,0,0,0,0,0,0,0,2.293412589,0.739721263,1
0,0,1,0,0,1,0,0,1,2.641534211,0.356910043,1
0,2,0,0,0,0,0,0,0,3.15879727,0.727948328,0
0,2,0,0,0,0,0,0,0,3.165354724,0.485315427,0
0,2,0,0,0,0,0,0,0,3.122342262,0.47717767,0
0,1,1,0,0,1,0,0,1,2.720167956,0.346975523,1
0,0,0,1,0,0,1,0,0,2.671061495,0.248436352,0
0,2,0,0,0,0,0,0,0,3.164457102,0.536540805,0
0,2,0,0,0,0,0,0,0,3.125833968,1.013456388,0
0,2,0,0,0,0,0,0,0,3.146631412,0.783185153,0
0,0,0,0,0,1,0,0,0,2.144591667,0.653243719,0
0,0,0,0,0,0,0,0,1,2.44973395,0.759398771,1
0,0,0,0,0,0,0,0,1,2.377431292,0.686803024,0
0,0,0,0,0,0,0,0,0,1.83437197,1.134540006,1
0,0,0,0,0,0,0,0,0,2.502031528,0.502400249,1
0,0,0,0,0,1,0,0,0,2.561526202,0.39553338,1
0,0,0,0,0,0,0,0,0,2.245952081,1.567995128,1
0,1,1,0,0,1,0,0,1,2.72589828,0.486173905,1
0,0,0,0,0,0,0,0,0,2.425479705,0.469030115,1
0,2,1,0,0,0,1,1,0,2.810993634,0.407975916,0
0,1,0,0,0,0,0,0,0,2.751841992,0.179313758,0
0,1,0,0,0,0,0,0,0,2.751841992,0.179313758,0
0,0,1,0,0,0,0,0,0,2.437124646,0.515967917,0
0,2,0,0,0,1,0,0,0,2.707741895,0.278182101,1
0,1,1,1,0,1,0,0,0,2.757321753,0.364037548,1
0,2,1,1,0,1,0,0,1,2.865327998,0.137734363,1
0,1,1,1,0,1,0,0,0,2.724245722,0.346884741,1
1,2,0,1,0,1,1,0,1,3.111107415,0.442067843,0
0,2,0,0,0,0,0,0,0,2.811375957,0.324284092,1
